class,name,content
中式,【寶寶食譜】蘿蔔糕 菜頭粿（電鍋製作）,紅蔥頭切小薄片、紅白蘿蔔刨絲。在來米粉用冷開水喇喇ㄟ成為粉漿備用平底鍋薄油，下紅蔥頭炒香，再下紅蘿蔔炒軟，接著下白蘿蔔拌炒一下，加入半米杯冷開水，開中火蓋鍋蓋悶煮一下，鍋內水煮乾了之後，白蘿蔔大致上也稍軟了，加入適量白胡椒粉拌炒一下倒入步驟1粉漿⚠️靜置一會兒的粉漿會有些沉澱，攪拌均勻再下鍋用鍋鏟將粉漿和其他材料混合均勻，粉漿越來越稠、成團的時候關火容器（我使用不鏽鋼盆）底部舖上烘焙紙或均勻的抹薄薄油，倒入粉漿壓實抹平電鍋外鍋倒3米杯水，放入蒸架，按下開關，直到電鍋開始冒煙、大滾時，再將炊粿容器放入電鍋跳起後再悶個20分鐘，打開鍋蓋表面刷上適量油防止乾硬，室溫完全放涼後，再進冰箱冰數小時就完成了剛打開鍋蓋時會感覺粿好像有些濕濕黏黏的，是正常的，放到完全涼了、冰進冰箱，就會變堅固了，要吃的時候切片下鍋稍微煎一下就OK了😊
中式,【寶寶食譜】芝麻蛋捲（平底鍋製作）,奶油室溫放軟（手指輕壓可以凹陷的狀態），加入糖用打蛋器攪拌均勻（呈乳霜狀）蛋一顆一顆加入奶油中（先打入一顆全蛋，攪拌至奶油完全吸收、看不見蛋液，再打第二顆，一樣拌至奶油完全吸收再加入蛋白，攪拌均勻）分兩次加入已過篩的低筋麵粉，輕輕拌勻至無粉粒，最後加入黑芝麻粒喇喇ㄟ桌面鋪張烘焙紙（全聯有賣－萬用料理紙）。平底鍋開外圈小火熱鍋，不用加油，舀入一小匙麵糊，覆蓋一張烘焙紙烘焙紙上用個鍋子重壓（我用鑄鐵鍋），計時30秒，拿起鍋子、烘焙紙，將蛋捲皮輕翻面，再煎個7、8秒鏟起（不要煎過頭，鏟起來要是軟軟的狀態）將蛋捲皮放在桌面的烘焙紙上，拿根不鏽鋼吸管（或筷子），趁熱快速將蛋捲捲起後靜置不動稍放涼，開口處壓在下方鍋中放入新麵糊，再回頭取出第1根蛋捲的吸管（筷子）⚠️一定要趁熱捲，動作稍慢蛋捲皮就會開始變硬變脆餅、捲不起來喔，有點燙，要注意安全捲好的蛋捲放至網架上放涼，待全部蛋捲完成，再全部放回鍋中，一樣外圈小火乾烘個5分鐘（期間要翻面喔，避免燒焦）完成後再放回網架上完全放涼，裝進密封保鮮盒室溫保存
中式,香蔥酥餅,將調味料與蔥花攪拌均勻，作為酥餅內餡備用。製作全蛋蛋液備用。消毒乾淨後的桌面撒上手粉並放上餅皮，平均的鋪上蔥花。餅皮邊緣塗上蛋液後，將酥餅上下折疊。將香蔥酥餅平均切成四等份，在表面均勻刷上蛋液，撒上黑白芝麻裝飾提香。烤箱設定220度預熱10分鐘後，將香蔥酥餅放入烤箱烤20分鐘後，就可以香噴噴的出爐啦～大口咬下，滿滿的幸福～
中式,韓國松餅 송편,"先加入黑芝麻跟花生粉
也可以用其他堅果代替, 份量抓一樣就好加入蜂蜜,攪拌均勻, 餡料完成!👍🏻在大碗加入大米粉, 是韓國傳統做松餅的粉
香港應該蠻難找的, 用糯米粉也可以的慢慢加入熱水, 攪拌混合到成團就好接下來會調色, 可以加入不同的蔬菜粉去調色
我是用了以下的材料去調色喔
綠-抹茶粉, 紫-紫薯粉, 粉紅-草莓香油, 黃-芒果香油
調完色記得用保鮮紙包好, 才不會乾掉因為原本影片中有教大家做5款造型
但整個截圖的話, 文章篇幅會太長
我會簡單教大家做3款, 其他在影片中也是看得到的!先從簡單的蜜桃做起來吧🍑
取粉紅10克, 白10克, 隨意混合
不用完全混合, 有點粉有點白會更好看加入餡料封好, 滾圓做蜜桃的形狀用牙籤畫出線條用牙籤畫出線條黏上葉子後, 用牙籤畫出葉脈蜜桃完成!🍑🍑🍑第2款是做南瓜, 先取20克黃色麵團包入餡料, 封好滾圓先定一個中心點, 這對之後的操作很有幫忙, 一定要點好從底劃上去直到中心點停下來, 這部分影片可能會比較清楚劃好4份後, 再從中間劃一下, 一樣是直到中心點停下來中心做一個洞黏上樹枝, 葉子等細節南瓜也完成!最後是做很可愛的小葡萄🍇🍇
先取10克紫色麵團拿一小塊滾圓, 像小珍珠一樣
把這些小珍珠都黏在一起😆😆😀漸漸塑形起一串葡萄在頂部黏上葉子樹幹葡萄也完成!🍇🍇這份量大約可以做19-20個左右放在蒸架上蒸大約15分鐘蒸好了!麻油跟油混合好把油塗上去😂😂😂
(我知道塗麻油很怪XD, 但這是韓國的做法
塗麻油會比較香, 外形也比較漂亮)然後就完成了! 可以放心吃了XD歡迎大家多看多練習, 也希望大家能順利做得到!
其餘2款影片也有詳細的教學的!😋😋😋"
中式,彩虹芋頭蛋黃酥,鹹蛋表面噴米酒、放入烤箱180度烘烤8分鐘。放涼後對切（10份）取芋泥25g、包入半顆鹹蛋、滾圓後蓋上保鮮膜備用。油皮製作：中筋麵粉、糖和豬油先混合再加入水、用手揉成麵團。蓋上保鮮膜鬆弛25分鐘。油酥製作：麵粉和豬油各分4等份。加入適量的色粉用手揉糰、蓋保鮮膜。油皮和油酥分割成5等份。油皮包油酥。捏緊收口朝上。第二次鬆弛15分鐘。取一份麵團、桿成長牛舌狀。從斜邊捲起。捲成長棍子狀。用桿麵棍桿長。由上或由下捲成圓筒狀。拿一把利刀對切2等份。蓋上保鮮膜、最後鬆弛15分鐘。取一份鬆弛好的油酥皮、刀口面朝下、桿成圓形。包入內餡、以虎口收口整型。置於烤盤上。烤箱預先預熱。上下170度35分鐘即完成。放涼後外皮會更酥、再食用。
中式,布朗尼月餅,"製作外皮～

低筋麵粉、蘇打粉、鹽一起過篩～蜂蜜+沙拉油拌勻

加入過篩的粉類拌壓成團～

放進塑膠袋中入冷凍庫冰30分後即可使用～

沒冰過的麵團會黏手是正常的

冰過後就很好操作了～製作內餡～

粉類一起過篩～糖加軟化的奶油拌至糖融化～

蛋液分3次加入拌勻～蛋液完全吸收後加入粉類、核桃、葡萄乾拌壓成團～

㊙️葡萄乾可先用蘭姆酒泡一下待軟瀝乾就可以使用～

成團後放塑膠袋入冰箱冷凍庫冰30分後即可使用～

麵團剛拌好非常黏手是正常的～從冰箱拿出2種麵團～

各分成15份～外皮搓圓再壓平放內餡～

邊壓邊轉讓外皮包覆內餡～

最後收口～搓成駝圓形拍上少許乾粉～

放入月餅模中～放烤盤上輕壓2下離模～準備入烤箱⋯

220/180預熱15分

入烤箱烤10分後拿出刷蛋黃液2次～

刷完蛋黃液後準備再次入烤箱～

200/0用上火烤5分表面上色即可出爐～烤好待涼密封起來⋯3天後是最佳賞味期～

3天後口感應該是外皮柔軟內餡鬆鬆地⋯

如果內餡是硬硬滴⋯就是烘烤過久變成硬餅乾的口感～

不過這樣也很好吃內～

看自己喜歡什麼口感取決於烘焙時間的長短～

下午茶時光💖來一壺喜翻的茶品～度過悠閒地午後💕"
中式,【低醣生酮】生酮冰心綠豆糕,綠豆仁洗乾淨泡水3小時，將水瀝乾備用。綠豆仁加入100cc水，放入鍋中蒸20分鐘。取出後趁熱放入食物處理機，加入羅漢果糖、豬油、酥油，打到細緻。將綠豆糊倒入鍋子炒到水分稍收乾、不黏手（大約剩下300g）。取27g放入綠豆糕模型，壓緊實推出，放在墊有防沾油紙的平盤上，放入冰箱冷藏2小時就完成了。
中式,花好月圆中秋夜·共享云硒黄金冰皮月饼,云硒黄金粥放入料理机打碎成粉状，充分过滤后，留细粉备用倒入炼乳、牛奶、色拉油、糖粉，混合搅拌均匀再加入澄粉、粘米粉、黄金粥粉，搅拌均匀，最后加入糯米粉，搅拌成无颗粒的粉状糊，静置30分钟粉糊入蒸锅开大火20分钟，中间要搅拌一次，搅拌均匀再盖回继续蒸。蒸熟的面糊取出，快速用筷子使劲的搅拌至顺滑。等待其冷却，就是冰皮了。也可以放入冷藏室，一般冷藏1小时，加速降温。锅烧干，放入糯米粉，微火炒2~3分钟，炒至粉出香味微微发黄即可，糕粉就做好啦。炒完以后后沾点尝尝，没有生粉味道就表示熟了。冰皮冷却后，把冰皮分成30g一个的圆球，馅料提前分成20g一个的圆球，（馅料可以是红豆馅，可可馅，抹茶馅等，按个人口味）在手上拍点糕粉防粘，然后将冰皮放在手心压扁成饼状，中间放入一个馅料圆球，用冰皮把馅料包住，并慢慢往上推，就像包包子一样，直到把馅料全部包裹住，收口，搓圆在模具里撒点糕粉，让糕粉均匀粘在模具壁上，然后把多余的糕粉倒出来。这样可以方便一会脱模。然后把包好的冰皮面团放进模具，用手压实，把模具倒扣过来，脱模，冰皮月饼就做好了。可根据自己喜好在冰皮中滴入蓝莓汁，蔓越莓汁，紫薯汁，芒果汁等，这样做出来的冰皮月饼颜色丰富，颜值更高。
中式,和菓子月餅,"在碗中加入糯米粉跟水, 混合好加入白豆蓉, 混合好利用微波爐去加熱麵團, 每次加熱完都要攪拌一下加入色素(水性), 調成自己喜歡的顏色因為原本影片中有教大家做5款造型
但整個截圖的話, 文章篇幅會太長
我會簡單教大家做3款, 其他在影片中也是看得到的!先取白10克跟粉紅10克, 像圖中重疊加揉平包入23克的紅豆蓉, 餡料可以換成任何你喜歡的餡用手揉成橢圓形, 這是兔子的身體
麵團向後推, 耳朵的形狀就出來了黏上黑芝麻做眼睛把麵團推過篩, 就會出現一個毛球的東西
取一部份下來, 尾巴GET! 把尾巴黏上就可以了之後我們做有點難度的菊花
取藍10克, 白10克, 重疊一起並揉平放入23克紅豆蓉, 包好, 盡量要用白色在外面先定一個中心點, 這對之後的操作很有幫忙, 一定要點好這是三角形的工具是和菓子專用, 沒有的話也可以牙籤/膠板/尺去做
任何可以界線的工具也是適合
從底劃上去直到中心點停下來, 這部分影片可能會比較清楚劃好4份後, 再從每一份分3份, 一樣是直到中心點停下來之後用工具推出花紋, 一前一後會比較好看最後在中心點一下, 放上黃色的麵團就可以做我最喜歡的小柑
取橘色10克, 紅豆蓉10克, 包好定一個中心點
然後像剛剛菊花一樣, 劃好4份後
再從每一份分3份, 一樣是直到中心點停下來整個沾上玉米淀粉取橘10克, 白10克, 包好在中心按一下放上綠色麵團用工具.小刀劃開表皮, 輕力把皮撕開, 看起來會更像柑做一些小洞會更像的終於完成了~(擦汗)
和菓子看起來很難, 做起來也蠻有難度的
拍影片前也練習了好幾次
歡迎大家多看多練習, 也希望大家能順利做得到!
其餘2款影片也有詳細的教學的!😋😋😋"
中式,桃花酥,"準備油皮材料油皮材料全放進盆里,麵糰揉勻不黏手后,蓋上保鮮膜鬆弛30分準備紅趜油酥材料備好紫薯油酥材料全部拌勻成團,蓋上保鮮膜,放至冰箱冷藏把芋泥餡和豆沙餡各分7份,每個25g,搓圓備用把油皮分為14份,紫薯和紅趜油酥,各分為7等份油皮揉搓圓壓扁,放上油酥包緊好全部油皮包油酥,蓋上保鮮膜鬆弛15分取一麵糰,桿成長舌狀,由上往下捲起全部卷好,鬆弛15分,要蓋上保鮮膜,免得麵糰發乾取一鬆弛好的麵糰,放入成直立狀,再桿成長舌狀,由上往下捲起全部卷好,再鬆弛約15分,蓋上保鮮膜把鬆弛好的麵糰,由中間往下壓兩端往中間折起把麵糰壓扁,在桿開來中間放入內餡把收口捏緊,滾圓全部包好放至烤盤上,蓋上保鮮膜包好餡的面團用手壓扁,再桿平一下用小刀切5刀,分岀5個花瓣,中間部份不要切用大拇指和食指捏出花瓣形狀5個花瓣全捏好在用小刀割出花蕊,每個花瓣各兩刀全部用好放在烤盤上花心部份抹上少許雞蛋液在放上黑芝麻放進已預熱的烤箱,170度,中下層,烤30分出爐後放至網架上晾涼,就可包裝起來或放進密封盒裡"
中式,四色綠豆花酥,"將油皮和油酥材料都秤重秤好⋯油皮的中筋麵粉和油酥的低筋麵粉都先過篩備用！
無鹽奶油於室溫軟化備用！先做油皮～
將油皮材料混合好，抓揉成一光滑麵糰！將油皮麵糰用保鮮膜包給來，鬆醒30分左右！接下來做油酥～
將軟化的無鹽奶油加入已過篩的低筋麵粉，抓揉成一均勻麵糰即可（不要過度搓揉，避免出筋影響口感）油酥用保鮮膜包起來⋯先放冰箱冷藏備用！將內餡綠豆餡分成20個，每一個30g!接下來將鬆醒好的油皮麵糰分成4個！調色～
分別將適量的調色粉或色料⋯慢慢加入油皮麵糰搓揉至均勻麵糰！
👩‍🍳調色方法⋯可以在色粉內加一點點水，（ㄧ小匙就好，不要太多）混合好後再加入油皮麵糰內搓揉成一均勻麵糰！
如果是用色料調，用牙籤沾取一點點混合油皮麵糰，不用加水調哦！將調色好的油皮、油酥秤重好，分成20個！
內餡也分成20個備用！開始整型～
將油皮掌壓成小圓，包入油酥⋯收口捏緊，搓成小圓！每一個顏色都ㄧ樣⋯步驟同上～包好，如上⋯蓋保鮮膜鬆醒10分左右！整型～
取出一小麵糰，用桿麵棍桿成一牛舌餅狀⋯如上從上往下⋯慢慢捲下來！如上～將麵糰調個頭⋯掌壓平⋯用桿麵棍從中間，分別往上和往下桿開⋯如上！再從上面慢慢捲下來，如上！每一個都按以上步驟整型好，然後蓋保鮮膜鬆醒10分左右！開始初步整型～
先從抹茶色花酥開始⋯用大姆指從中間壓下去，兩端往中間折起，捏一下⋯再將小麵糰壓扁⋯如上圖！再用桿麵棍桿成小圓,光滑面都是在下喔！光滑面在外，剛桿的這面包內餡⋯
將綠豆沙包進來，收口捏緊⋯搓成小圓！其他顏色的麵糰步驟同上⋯都先做初步整型，包好綠豆沙⋯收口捏緊，搓小圓蓋保鮮膜備用！開始整型～
先做綠色抹茶花酥⋯
取出小麵糰⋯放桌上⋯我放粘板上，用ㄧ小刀劃5刀⋯如上圖！然後用大姆指從中間輕壓ㄧ小洞，如上⋯在小洞內加些黑芝麻粒，抹茶綠豆花酥完成！接下來⋯做草莓色花酥整型⋯在麵糰中間壓ㄧ小洞⋯再用小刀劃4刀⋯如上圖！可以將中間洞的餡外露些，這樣烤起來比較美喔！
草莓色綠豆花酥完成！接下來，做這淡藍花酥⋯
將麵糰稍掌壓⋯用小刀劃8刀⋯然後在中間輕壓ㄧ個小洞，如上圖！再將每個花瓣扭轉成如上圖⋯完成！紫色花酥⋯用小刀劃8刀，步驟同上⋯扭轉方式⋯將兩個花瓣分別往內扭轉變成ㄧ花瓣，如上圖！每一個花酥都整型好了，準備進烤箱⋯
烤箱用170度預熱10分左右！將烤盤上鋪烘焙紙⋯花酥整齊有間隔的排好！
用170度烤25～30分左右！
每家烤箱烤溫不同，要隨時觀察花酥狀態調整烤溫和時間！烤好的花酥⋯真的真的美呆了！
好療癒啊！我自己看了都捨不得吃⋯
移至烤網放涼，再包裝哦！太搶鏡了⋯再多拍幾張😆趁著中秋節前夕，不妨自己做看看⋯
真的自用送禮兩相宜，很吸晴的中秋禮盒⋯推薦給大家❤️"
中式,鳳梨酥,奶油和糖用電動攪拌器低速打成霜狀加入蛋用中速打勻分次篩入麵粉和奶粉攪拌成團餡和皮各25g，分餡時可撒麵粉以防沾黏皮壓開包入內餡，搓成球放入模具，用手掌心壓實放入烤箱180°C烤20分，翻面烤5分鐘後立即脫模即可完成放涼用保鮮盒保存可放1個月
中式,菠蘿蛋黃酥,"菠蘿皮：奶油加糖打到乳化，再加過篩的粉類，揉成團放到冰箱備用。油酥：麵粉加無水奶油拌勻成團備用。鬆弛20分鐘油皮：粉類一起過篩，中間挖洞，放無水奶油、熱水，攪拌。
慢慢讓旁邊的麵粉一起辦成團即可。鬆弛20分鐘。油酥每顆12克。
油皮每顆18克。
油皮包油酥，桿平捲起，鬆弛20分。
鬆弛後再桿平捲起，鬆弛20分。
兩頭往內摺，桿圓，包入內餡。菠蘿皮拿出桿平，每顆大約15-18克，整成圓形或用壓模的方式，黏貼在月餅上。
可自行決定是否劃刀。塗上蛋黃、灑上芝麻，180度烤30分鐘即可。"
中式,果凍冰心月餅,"先製作冰心內餡部份
冰皮粉50g加入水50g、火龍果汁5g攪拌均勻再加入白油，攪拌均勻分成適當大小，放入模具內果凍外皮
蒟蒻果凍粉50g、熱水150g、火龍果泥50g 攪拌均勻果凍液倒入步驟3的模具，冷藏30分鐘脫模就完成囉!"
